                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
Status,Project,,จำนวนอินฟลูฯ,Shooting Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Process, ZUS x อ้วยอันโอสถ,,KOL 2 | KOC 25,1-2/7/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,KOC Comfirmed,,,In Process,Pending Post,Done,,,,,,,,,,,,,,,,,,,,,
,,,,"1,513,179",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,25,,,0,0,25,ZUS Coffee Comment,,,,,,,,,,,,,,,,,,,,
NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Confirm,Brand Confirm,Phase,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),Zus Coffee Comment (Draft 1),Draft 2,Foxtells Suggestion (Draft 2),Zus Coffee Comment (Draft 2),Draft 3,Foxtells Suggestion (Draft 3),Zus Coffee Comment (Draft 3),Link Post,Gen Code,TikTok Views,TikTok Likes,TikTok Comments,TikTok Shares,TikTok Saves,Reels Views,Reels Likes,Reels Comments,Reels - Repost,Reels Shares,Reels Saves,Note
KOL3,Done,pailongdo,https://www.tiktok.com/@pailongdo,"156,700",,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู (อโศก)
3 ก.ค. 69 - 10.00",ส่งวันที่ 8/7/2569,https://drive.google.com/drive/folders/1Kzsae7DS02nphHoURadbCBOZqTBBk-8x?usp=sharing,0.24 - ออกเสียงว่า บัตเตอร์-เคร็ม,0.24 - ออกเสียงว่า บัตเตอร์-เคร็ม,https://drive.google.com/drive/folders/1Kzsae7DS02nphHoURadbCBOZqTBBk-8x?usp=sharing,ผ่าน,ผ่าน,,,,"TikTok : https://vt.tiktok.com/ZSCK7QamX/
IG Reels : https://www.instagram.com/reel/DajnCYexUEt/?igsh=aW84NXdndjgwNHg0
Facebook : https://www.facebook.com/share/r/1Bh8DeBeMB/?mibextid=wwXIfr
Lemon 8 : https://s.lemon8-app.com/s/GgZTvvQUNf
YT-Shorts : https://youtube.com/shorts/dOVvNdoODkI?si=UAY6bNRZKYr_2mjF",Gen Code (TikTok):  #fLGi2KqOU2LfNdW+qD33wBZePSJ0hCwgEjyG2vlVXr12Ks3XURUROlhvN6KbWac=,"12,831",982,4,24,31,"1,463",14,0,1,0,0,KOL Foodie
KOL4,Done,beebiegin,https://www.tiktok.com/@beebiegin,"431,100",,,,,,TRUE,FALSE,TRUE,,"บ้านก้ามปู (อโศก)
1 ก.ค. 69 - 11.00","ซื้อเครื่องดื่ม แถมฟรี เคสพร้อมยาดม ที่ ZUS COFFEE ตั้งแต่วันนี้ - 31 ก.ค. 2569
#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ",https://drive.google.com/drive/folders/1BsIDlnBA0BnjQJYjN2YdGxL11-lY6hPz,"- 0.12/0.13/0.14 เติม Text ชื่อเมนู ให้ครบทั้ง 3 เมนู
- 0.15 แก้ไขเสียง จากเดิมอ่านว่า บัตเตอร์ครีม อ่านใหม่เป็น บัตเตอร์เคร็ม
- 0.17 รบกวนเปลี่ยน Font ภาษาไทยเป็นแบบไม่มีหัว เพื่อให้เข้ากับภาพลักษณ์ที่ดูทันสมัย
- รบกวนเติมเพลงคลอๆสนุกๆ
","- 0.15 แก้ไขเสียง จากเดิมอ่านว่า บัตเตอร์ครีม อ่านใหม่เป็น บัตเตอร์เคร็ม
- 0.17 รบกวนเปลี่ยน Font ภาษาไทยเป็นแบบไม่มีหัว เพื่อให้เข้ากับภาพลักษณ์ที่ดูทันสมัย
- รบกวนเติมเพลงคลอๆสนุกๆ",https://drive.google.com/drive/folders/1BsIDlnBA0BnjQJYjN2YdGxL11-lY6hPz,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSCT3Xgg4/
IG Reels : https://www.instagram.com/reel/Dae8JoBRsVL/?igsh=MW1kdjRzY2ptejd2Zg==",Gen Code (TikTok): #GpX3efqamc8sN5lA1bp1rjmXzIQrFhEio7XMSxC9bAc5QoD961N6w6SMIPjg7dQ=,"327,918","4,283",42,"2,131","1,161",472,12,0,0,0,0,KOL Foodie
1,Done,wannaka.diary,https://www.tiktok.com/@wannaka.diary,"31,700",,,,,,TRUE,,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 17.00",ร้อนคับบบ #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ,https://drive.google.com/file/d/1Y3tUqVWrXJ58IWVmF0ivdS_JWlENsBnT/view?usp=sharing,0.49 - ออกเสียง บัตเตอร์-เคร็ม ค่าา,0.31 / 0.49 - ออกเสียง บัตเตอร์-เคร็ม ค่าา,https://drive.google.com/file/d/1ep9axIVlEqOus17NxUHwdDknIW6GYgGa/view?usp=sharing,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCtCPvbE/
IG Reels: https://www.instagram.com/reel/Dachcd_T1bI/
IG Post: https://www.instagram.com/p/DacjIrNFFbZ/
IG Story: https://www.instagram.com/stories/travel_loverer/3935168322258318797",Gen Code (TikTok): #RNqoNLpbU2WAUOZa5WXTYE0+UwLXqq25ifCXmw+TglSZXDLNK9zeern61HcbDTw=,291,16,1,9,1,834,14,2,3,0,0,
2,Done,graphic.review,https://www.tiktok.com/@graphic.review,"31,700",,,,,,TRUE,,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 11.00","Soothe Up the Day 🌴💚สูด-ซูสสส์-สูตร-สดชื่น กับ Coconut Series เมนูใหม่ล่าสุดจาก ZUS แถมตอนนี้ซื้อครบ 150 รับไปเลยทันที ยาดมสมุนไพรมังกรทองพร้อมเคส ZUS Buddy ให้เราได้ซู้ดดดดแบบสดชื่นคูณสอง 🌿🥥 

🎁เฉพาะการสั่งผ่าน ZUS App น้าา
📅 1–31 ก.ค. 69 เท่านั้น!
📌 ที่ ZUS Coffee ทุกสาขา

รีบไปสั่งเลย! ",https://drive.google.com/drive/folders/1JpqH79F148XTqAoOTraTs_O4y_CEWosz,ไม่เปิดลิงค์สาธารณะ ,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCpRxBVQ/
IG Reels: https://www.instagram.com/reel/DaZeoqnSw2r/
IG Post: https://www.instagram.com/p/DaZpbMZkqRh/
IG Story: https://www.instagram.com/stories/arpowang/3934362456809833323",Gen Code (TikTok): #4r09FFfseDanJ5JyyMqdWPxcw5zqXeYD2yTB3lPmqqLxGO0+BLamswPbz/DTMLg=,"2,140",15,1,1,0,"1,625",205,0,3,0,0,
3,,sommickez,https://www.tiktok.com/@sommickez,"17,400",,,,,,TRUE,,,2,"บ้านก้ามปู (อโศก)
1 ก.ค. 69 - 13.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
